(8, '07-10-23', 'Juventus', 'Torino', '2-0', 'Monza', 1, 1)
(8, '08-10-23', 'Cagliari', 'Roma', '1-4', 'Monza', 1, 1)
(8, '08-10-23', 'Napoli', 'Fiorentina', '1-3', 'Monza', 1, 1)
(8, '08-10-23', 'Frosinone', 'Verona', '2-1', 'Monza', 1, 1)
(8, '08-10-23', 'Lazio', 'Atalanta', '3-2', 'Monza', 1, 1)
(8, '08-10-23', 'Monza', 'Salernitana', '3-0', 'Monza', 1, 1)
(9, '21-10-23', 'Sassuolo', 'Lazio', '0-2', 'Monza', 2, 1)
(9, '21-10-23', 'Torino', 'Inter', '0-3', 'Monza', 2, 1)
(9, '21-10-23', 'Verona', 'Napoli', '1-3', 'Monza', 2, 1)
(9, '22-10-23', 'Milan', 'Juventus', '0-1', 'Monza', 2, 1)
(9, '22-10-23', 'Roma', 'Monza', '1-0', 'Roma', 1, 1)
(9, '22-10-23', 'Atalanta', 'Genoa', '2-0', 'Roma', 1, 1)
(9, '22-10-23', 'Bologna', 'Frosinone', '2-1', 'Roma', 1, 1)
(9, '22-10-23', 'Salernitana', 'Cagliari', '2-2', 'Roma', 1, 1)
(9, '23-10-23', 'Fiorentina', 'Empoli', '0-2', 'Roma', 1, 1)
(9, '23-10-23', 'Udinese', 'Lecce', '1-1', 'Roma', 1, 1)
(10, '27-10-23', 'Genoa', 'Salernitana', '1-0', 'Roma', 1, 1)
(10, '28-10-23', 'Lecce', 'Torino', '0-1', 'Roma', 1, 1)
(10, '28-10-23', 'Juventus', 'Verona', '1-0', 'Roma', 1, 1)
(10, '28-10-23', 'Sassuolo', 'Bologna', '1-1', 'Roma', 1, 1)
(10, '29-10-23', 'Inter', 'Roma', '1-0', 'Inter', 1, 2)
(10, '29-10-23', 'Monza', 'Udinese', '1-1', 'Inter', 1, 2)
(10, '29-10-23', 'Napoli', 'Milan', '2-2', 'Inter', 1, 2)
(10, '29-10-23', 'Cagliari', 'Frosinone', '4-3', 'Inter', 1, 2)
(10, '30-10-23', 'Empoli', 'Atalanta', '0-3', 'Inter', 1, 2)
